Name,Tags,Spacer,Description
Imperium Invicta,Empire,,
Hellenoria,Empire,,
Acheaoria,Empire,,
Alexandria Sanctum,Library,,
Foloicauria Forest,Great Forest,,
Dasht-a Khaliq,Great Desert,,
Varathros Lake,Great Lake,,
River Tiberius,River,,
Xeruezcho Canal,River,,
Parthian Ravine,Valley,,
Shadowed Vale,Valley,,
Briar’s Valley,Valley,,
Oros Mountain Range,Mountain Range,,
Klynin Mountain Range,Mountain Range,,
Olympus Mountain Range,Mountain Range,,
Mountain of Kharveth,Mountain Range,,
Zaruk'thal Spine,"Mountain Range, South",,
Aeolus Reach,Seas,,
Nereid’s Veil,Seas,,
Kaspiran Seas,Seas,,
Ancient Petra,Temple,,
Elysian Plains,Plains,,
Malaunian Steppe,Plains,,
Latium Plains,Plains,,
Maeotis Helos,Swamp,,
Deiperduem City,Neutral Hub City,,
Aeterna City,"Capital, Invictian City",,
Romulo City,Invictian City,,
Duneforged Citadel,Invictian City,,
Mavelon City,Invictian City,,
Ephelanum City,Invictian City,,
Thessalonika City,Invictian City,,
Napplesia,Invictian Town,,
Nemibano,Invictian Town,,
Anticata,Invictian Town,,
Fucostia,Invictian Town,,
Falecosa,Invictian Town,,
Hellarchon City,"Capital, Hellenorian City",,
Helionyx City,Hellenorian City,,
Delphara City,Hellenorian City,,
Aepistra City,Hellenorian City,,
Thebesieas City,Hellenorian City,,
Corinth City,Hellenorian City,,
Loutrokleion,Hellenorian Town,,
Carianea,Hellenorian Town,,
Kirimitsana,Hellenorian Town,,
Araavyna,Hellenorian Town,,
Argotiko,Hellenorian Town,,
Atticenea,Hellenorian Town,,
Persemenid City,"Acheaorian City, Capital",,
Atarabad City,Acheaorian City,,
Persevalis City,Acheaorian City,,
Xerastri City,Acheaorian City,,
Mithratal City,Acheaorian City,,
R’eyshar,Acheaorian Town,,
Tabrishi'ir,Acheaorian Town,,
Shir'abad D'ar,Acheaorian Town,,
Qa'zshahrv'in,Acheaorian Town,,
,,,
after this to delete for players,,,
De'rakhtak Bon,Acheaorian Underground Town,,
"Zi'rzamin Dar'a ",Acheaorian Underground Town,,
Marshroot Grove,Swamp Village,,
Willowheart Enclave,Swamp Village,,
Nemorus Village,Araucaria Village,,
Alderpool,Araucaria Village,,
Silva Caminia,Araucaria Village,,
Zandar Isle,Island Village,,
Azadeh Atoll,Island Village,,
Parvaz Cay,Island Village,,
Bahrami Rock,Island Village,,
Mother of Corruption,Continental Dark Cult,,
Trumpeteer of Rest,Continental Dark Cult,,
Writhing Curiosity,Continental Dark Cult,,
Mending Needle,Continental Dark Cult,,
Melted Ice,Continental Dark Cult,,
Shaking Rest,Continental Dark Cult,,
Vael’Tharan Mountain,Araucaria Citadel Mountain,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
