Name,Description,Spacer,Tags
Hellenoria,,,Empire
Imperium Invicta,,,Empire
Acheaoria,,,Empire
Foloicauria Forest,,,Great Forest
Alexandria Sanctum,,,Library
River Tiberius,,,River
Parthian Ravine,,,Valley
Shadowed Vale,,,Valley
Briar’s Valley,,,Valley
Malaunian Steppe,,,Plains
Latium Plains,,,Plains
Aeterna City,,,"Capital, Invictian City"
Romulo City,,,Invictian City
Duneforged Citadel,,,Invictian City
Mavelon City,,,Invictian City
Ephelanum City,,,Invictian City
Thessalonika City,,,Invictian City
Hellarchon City,,,"Capital, Hellenorian City"
Oros Mountain Range,,,Mountain Range
Klynin Mountain Range,,,Mountain Range
Olympus Mountain Range,,,Mountain Range
Aeolus Reach,,,Seas
Nereid’s Veil,,,Seas
Ancient Petra,,,Temple
Helionyx City,,,Hellenorian City
Delphara City,,,Hellenorian City
Aepistra City,,,Hellenorian City
Thebesieas City,,,Hellenorian City
Corinth City,,,Hellenorian City
Persemenid City,,,"Acheaorian City, Capital"
Atarabad City,,,Acheaorian City
Xerastri City,,,Acheaorian City
Persevalis City,,,Acheaorian City
Mithratal City,,,Acheaorian City
"Zi'rzamin Dar'a ",,,Acheaorian Underground Town
Marshroot Grove,,,Swamp Village
after this to delete for players,,,
Willowheart Enclave,,,Swamp Village
De'rakhtak Bon,,,Acheaorian Underground Town
Nemorus Village,,,Araucaria Village
Elysian Plains,,,Plains
Maeotis Helos,,,Swamp
Deiperduem City,,,Neutral Hub City
Alderpool,,,Araucaria Village
Zandar Isle,,,Island Village
Parvaz Cay,,,Island Village
Azadeh Atoll,,,Island Village
Bahrami Rock,,,Island Village
Napplesia,,,Invictian Town
Nemibano,,,Invictian Town
Anticata,,,Invictian Town
Fucostia,,,Invictian Town
Falecosa,,,Invictian Town
Loutrokleion,,,Hellenorian Town
Kirimitsana,,,Hellenorian Town
Carianea,,,Hellenorian Town
Argotiko,,,Hellenorian Town
Araavyna,,,Hellenorian Town
Tabrishi'ir,,,Acheaorian Town
R’eyshar,,,Acheaorian Town
Qa'zshahrv'in,,,Acheaorian Town
Shir'abad D'ar,,,Acheaorian Town
Atticenea,,,Hellenorian Town
Silva Caminia,,,Araucaria Village
Trumpeteer of Rest,,,Continental Dark Cult
Mother of Corruption,,,Continental Dark Cult
Mending Needle,,,Continental Dark Cult
Writhing Curiosity,,,Continental Dark Cult
Melted Ice,,,Continental Dark Cult
Shaking Rest,,,Continental Dark Cult
Vael’Tharan Mountain,,,Araucaria Citadel Mountain
,,,
Dasht-a Khaliq,,,Great Desert
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Xeruezcho Canal,,,River
,,,
Mountain of Kharveth,,,Mountain Range
Kaspiran Seas,,,Seas
Zaruk'thal Spine,,,"Mountain Range, South"
Varathros Lake,,,Great Lake
