Name,Gods,Tags,Domains,Race,Alignment,Symbol
"Hercules, The Champion","Hercules, The Champion (The%20Continent/Pantheons/Untitled/Hellenorian/Hellenorian%20Gods/Hercules,%20The%20Champion%20138f1754c40381dcb06dd147ee8ad12b.csv)",Hellenorian Lesser God,"Strength, Adventure",Goliath,Chaotic Good,
"Ares, The Warlord","Ares, The Warlord (The%20Continent/Pantheons/Untitled/Hellenorian/Hellenorian%20Gods/Ares,%20The%20Warlord%20138f1754c4038195ad22ed9f2fe28575.csv)",Hellenorian Lesser God,"War, Strife",Minotaur,Chaotic Evil,
"Athena, The Wise Guardian","Athena, The Wise Guardian (The%20Continent/Pantheons/Untitled/Hellenorian/Hellenorian%20Gods/Athena,%20The%20Wise%20Guardian%20138f1754c40381b0aea2e8c59b6a2eca.csv)",Hellenorian Lesser God,"Knowledge, Civilization",Warforged,Lawful Good,
"Artemis, The Huntress of the Moon","Artemis, The Huntress of the Moon (The%20Continent/Pantheons/Untitled/Hellenorian/Hellenorian%20Gods/Artemis,%20The%20Huntress%20of%20the%20Moon%20138f1754c40381d5873de089fb18505d.csv)",Hellenorian Lesser God,"Nature, Wild Hunt, Lunar Light",Tabaxi,Neutral Good,
"Hermes, The Fleet-footed Messenger","Hermes, The Fleet-footed Messenger (The%20Continent/Pantheons/Untitled/Hellenorian/Hellenorian%20Gods/Hermes,%20The%20Fleet-footed%20Messenger%20138f1754c40381c69748e48c26475924.csv)",Hellenorian Lesser God,"Travel, Commerce, Mercenary(Seekers)",Shifter,Chaotic Good,
"Zeus, The Storm Lord","Zeus, The Storm Lord (The%20Continent/Pantheons/Untitled/Hellenorian/Hellenorian%20Gods/Zeus,%20The%20Storm%20Lord%20138f1754c40381b6aca6df9fbf051f9c.csv)",Hellenorian Lesser God,Tempest,Variant Aasimar,True Neutral,
"Hestia, The Keeper of the Eternal Fire","Hestia, The Keeper of the Eternal Fire (The%20Continent/Pantheons/Untitled/Hellenorian/Hellenorian%20Gods/Hestia,%20The%20Keeper%20of%20the%20Eternal%20Fire%20138f1754c40381d088d4f7cc56bb29af.csv)",Hellenorian Lesser God,"Hearth, Home",Centaur,Neutral Good,
"Hera, The Matron of Families","Hera, The Matron of Families (The%20Continent/Pantheons/Untitled/Hellenorian/Hellenorian%20Gods/Hera,%20The%20Matron%20of%20Families%20138f1754c4038198b401c486b30d1f38.csv)",Hellenorian Lesser God,"Family, Intrigue",Leonin,Chaotic Neutral,
"Hades, The Lord of the Underworld","Hades, The Lord of the Underworld (The%20Continent/Pantheons/Untitled/Hellenorian/Hellenorian%20Gods/Hades,%20The%20Lord%20of%20the%20Underworld%20138f1754c40381008d5cff81de3b52a7.csv)",Hellenorian Lesser God,"Death, Wealth",Duergar Tiefling Variant,Lawful Evil,
"Nike, The Winged Champion","Nike, The Winged Champion (The%20Continent/Pantheons/Untitled/Hellenorian/Hellenorian%20Gods/Nike,%20The%20Winged%20Champion%20138f1754c403818889e6efd91a80d7ed.csv)",Hellenorian Lesser God,Victory,Fallen Aasimar,Lawful Neutral,
"Hecate, The Mistress of the Arcane","Hecate, The Mistress of the Arcane (The%20Continent/Pantheons/Untitled/Hellenorian/Hellenorian%20Gods/Hecate,%20The%20Mistress%20of%20the%20Arcane%20138f1754c403810abdebfc16293208ae.csv)",Hellenorian Lesser God,"Arcana, Moon, Crossroads",Changeling,Chaotic Evil,
"Aphrodite, The Enchantress","Aphrodite, The Enchantress (The%20Continent/Pantheons/Untitled/Hellenorian/Hellenorian%20Gods/Aphrodite,%20The%20Enchantress%20138f1754c4038140869ed5042a0f98dd.csv)",Hellenorian Lesser God,"Love, Beauty",Variant Tiefling,Chaotic Good,
"Apollo, The Radiant One","Apollo, The Radiant One (The%20Continent/Pantheons/Untitled/Hellenorian/Hellenorian%20Gods/Apollo,%20The%20Radiant%20One%20138f1754c4038171b0b9cd5bdc0d33ba.csv)",Hellenorian Lesser God,"Light, Healing",Aarakocra,Chaotic Good,
"Tyche, The Goddess of Fortune","Tyche, The Goddess of Fortune (The%20Continent/Pantheons/Untitled/Hellenorian/Hellenorian%20Gods/Tyche,%20The%20Goddess%20of%20Fortune%20138f1754c403818e9f9de1614cbbeb70.csv)",Hellenorian Lesser God,"Luck, Fate",All Genasi,True Neutral,
"Poseidon, The Earth Shaker","Poseidon, The Earth Shaker (The%20Continent/Pantheons/Untitled/Hellenorian/Hellenorian%20Gods/Poseidon,%20The%20Earth%20Shaker%20138f1754c4038161814ad79bf699f1aa.csv) ",Hellenorian Lesser God,Sea,Triton,Chaotic Neutral,
"Pan, The Wild Sheperd","Pan, The Wild Sheperd (The%20Continent/Pantheons/Untitled/Hellenorian/Hellenorian%20Gods/Pan,%20The%20Wild%20Sheperd%20138f1754c4038175aedcff946acf2f4f.csv) ",Hellenorian Lesser God,"Nature,",Variant Centaur,Chaotic Neutral,
"Demeter, The Earth Mother","Demeter, The Earth Mother (The%20Continent/Pantheons/Untitled/Hellenorian/Hellenorian%20Gods/Demeter,%20The%20Earth%20Mother%20138f1754c4038132bb91f142c745fd85.csv) ",Hellenorian Lesser God,Agriculture,Firbolg,Neutral Good,
"Hephaestus, The Forge Master","Hephaestus, The Forge Master (The%20Continent/Pantheons/Untitled/Hellenorian/Hellenorian%20Gods/Hephaestus,%20The%20Forge%20Master%20138f1754c4038145adecde9e85cc945b.csv) ",Hellenorian Lesser God,Forge,Deep Gnome,Neutral Good,
"Dionysus, The God of Festivity","Dionysus, The God of Festivity (The%20Continent/Pantheons/Untitled/Hellenorian/Hellenorian%20Gods/Dionysus,%20The%20God%20of%20Festivity%20138f1754c403814196a1fb9f67552569.csv) ",Hellenorian Lesser God,"Life, Revelry",Satyr,Chaotic Neutral,
"Phoebus, The illuminator","Phoebus, The illuminator (The%20Continent/Pantheons/Untitled/Imperium%20Invicta/Invictian%20Gods/Phoebus,%20The%20illuminator%2011df1754c40381fb9bb8f3177077c0c5.csv) ",Invictian Lesser God,"Light, Heavenly Knowledge",Sun Elf,Neutral Evil,
"Arcus, The Spectrum","Arcus, The Spectrum (The%20Continent/Pantheons/Untitled/Imperium%20Invicta/Invictian%20Gods/Arcus,%20The%20Spectrum%2011df1754c40381e48117e195e9b01a22.csv) ",Invictian Lesser God,"Prismatic Nature, Trickery",Aarakocra,Chaotic Good,
"Aurora, The First Light","Aurora, The First Light (The%20Continent/Pantheons/Untitled/Imperium%20Invicta/Invictian%20Gods/Aurora,%20The%20First%20Light%2011df1754c4038157aad4dd14605f85b3.csv) ",Invictian Lesser God,"Dawn, New Beginnings",Aasimar,Neutral Good,
"Bacchus, The Bountiful Spirit","Bacchus, The Bountiful Spirit (The%20Continent/Pantheons/Untitled/Imperium%20Invicta/Invictian%20Gods/Bacchus,%20The%20Bountiful%20Spirit%2011df1754c4038168ac41f5dbc0534bcf.csv) ",Invictian Lesser God,Revelry,Satyr,Chaotic Neutral,
"Bellona, The Warbringer","Bellona, The Warbringer (The%20Continent/Pantheons/Untitled/Imperium%20Invicta/Invictian%20Gods/Bellona,%20The%20Warbringer%2011df1754c40381e0a96bdd65d9bb59f9.csv) ",Invictian Lesser God,"Warfare, Shadow Tactics",Hobgoblin,Lawful Evil,
"Caelus, The Celestial Scholar","Caelus, The Celestial Scholar (The%20Continent/Pantheons/Untitled/Imperium%20Invicta/Invictian%20Gods/Caelus,%20The%20Celestial%20Scholar%2011df1754c403816198b8f4857f74da37.csv) ",Invictian Lesser God,Astronomy. Celestial Knowledge,Air Genasi,Lawful Neutral,
Ceres. The Harvest Mother,"Ceres. The Harvest Mother (The%20Continent/Pantheons/Untitled/Imperium%20Invicta/Invictian%20Gods/Ceres%20The%20Harvest%20Mother%2011df1754c4038144b147f5c165c8e6c3.csv) ",Invictian Lesser God,"Agriculture, Prosperity",Human,Neutral Good,
"Concordia, The Unifier","Concordia, The Unifier (The%20Continent/Pantheons/Untitled/Imperium%20Invicta/Invictian%20Gods/Concordia,%20The%20Unifier%2011df1754c40381e1ac76d073582796a3.csv) ",Invictian Lesser God,"Unity, Peacekeeping",Half High Elf,Lawful Good,
"Cupid, The Heart’s Arrow","Cupid, The Heart’s Arrow (The%20Continent/Pantheons/Untitled/Imperium%20Invicta/Invictian%20Gods/Cupid,%20The%20Heart%E2%80%99s%20Arrow%2011df1754c40381db9fb1f144542d30c1.csv) ",Invictian Lesser God,"Love, Emotional Healing",Half Wood Elf,Chaotic Good,
"Cybele, Earthen Mother","Cybele, Earthen Mother (The%20Continent/Pantheons/Untitled/Imperium%20Invicta/Invictian%20Gods/Cybele,%20Earthen%20Mother%2011df1754c403814da9a0c49f60893167.csv) ",Invictian Lesser God,"Fiora, Wilderness",Half Eladrin Elf,True Neutral,
"Diana, The Guardian fo the Grove","Diana, The Guardian fo the Grove (The%20Continent/Pantheons/Untitled/Imperium%20Invicta/Invictian%20Gods/Diana,%20The%20Guardian%20fo%20the%20Grove%2011df1754c403818fa2f8fcfd11bd66be.csv) ",Invictian Lesser God,"Hunting, Adventure",Firbolg,Chaotic Good,
"Faunus, The Keeper of the Plains","Faunus, The Keeper of the Plains (The%20Continent/Pantheons/Untitled/Imperium%20Invicta/Invictian%20Gods/Faunus,%20The%20Keeper%20of%20the%20Plains%2011df1754c4038130a5a3dfb4e3c49b5c.csv) ",Invictian Lesser God,"Wildlife, Serenity",Tabaxi,True Neutral,
"Febris, The Harbringer of Ailments","Febris, The Harbringer of Ailments (The%20Continent/Pantheons/Untitled/Imperium%20Invicta/Invictian%20Gods/Febris,%20The%20Harbringer%20of%20Ailments%2011df1754c403817191abdd5b3b296f54.csv) ",Invictian Lesser God,"Plagues,  Mischief",Centaur,Chaotic Evil,
"Flora, The Blooming Spirit","Flora, The Blooming Spirit (The%20Continent/Pantheons/Untitled/Imperium%20Invicta/Invictian%20Gods/Flora,%20The%20Blooming%20Spirit%2011df1754c40381f785c8cbfa465c835b.csv) ",Invictian Lesser God,"Flower, Renewal",Dhampir,Neutral Good,
"Fortuna, The Wheel of Fatet","Fortuna, The Wheel of Fatet (The%20Continent/Pantheons/Untitled/Imperium%20Invicta/Invictian%20Gods/Fortuna,%20The%20Wheel%20of%20Fatet%2011df1754c403813bb712df413199a35e.csv) ",Invictian Lesser God,"Luck, Fortune’s Change",Wood Elf,Neutral Good,
"Janus, The Gatekeeper","Janus, The Gatekeeper (The%20Continent/Pantheons/Untitled/Imperium%20Invicta/Invictian%20Gods/Janus,%20The%20Gatekeeper%2011df1754c403819fa9f7db5485f30e9b.csv) ",Invictian Lesser God,"Transitions, Passages",Tiefling,True Neutral,
"Juno, The Protector of Bonds","Juno, The Protector of Bonds (The%20Continent/Pantheons/Untitled/Imperium%20Invicta/Invictian%20Gods/Juno,%20The%20Protector%20of%20Bonds%2011df1754c4038129b664c5322f1c7305.csv) ",Invictian Lesser God,"Protection, Oaths",Changeling,Lawful Good,
"Jupiter,, The Stormlord","Jupiter,, The Stormlord (The%20Continent/Pantheons/Untitled/Imperium%20Invicta/Invictian%20Gods/Jupiter,,%20The%20Stormlord%2011df1754c40381079491cf8c65db1b08.csv) ",Invictian Lesser God,"Thunder, Authority",Goliath,Lawful Neutral,
"Juventus, The Spirit of Vitality","Juventus, The Spirit of Vitality (The%20Continent/Pantheons/Untitled/Imperium%20Invicta/Invictian%20Gods/Juventus,%20The%20Spirit%20of%20Vitality%2011df1754c40381f59ef6cb61ea1dcfea.csv) ",Invictian Lesser God,"Youth, Endurance",Aasimar,Chaotic Good,
"Mars, The Champion of Valor","Mars, The Champion of Valor (The%20Continent/Pantheons/Untitled/Imperium%20Invicta/Invictian%20Gods/Mars,%20The%20Champion%20of%20Valor%2011df1754c40381f0b2dcf54f91406ed4.csv) ",Invictian Lesser God,"Warfare, Glory",Half Elf(Drow),Lawful Evil,
"Minerva, The Sage of Wisdom","Minerva, The Sage of Wisdom (The%20Continent/Pantheons/Untitled/Imperium%20Invicta/Invictian%20Gods/Minerva,%20The%20Sage%20of%20Wisdom%2011df1754c40381a6b7e5d3e889f06857.csv) ",Invictian Lesser God,"Creative Arts and Crafts ",Kenku,Chaotic Evil,
"Mercury, The Trickster of Trade","Mercury, The Trickster of Trade (The%20Continent/Pantheons/Untitled/Imperium%20Invicta/Invictian%20Gods/Mercury,%20The%20Trickster%20of%20Trade%2011df1754c40381159658d99b97cccd84.csv) ",Invictian Lesser God,"Commerce, Cunning ",Tabaxi,Lawful Good,
"Mutunus, The God of Union","Mutunus, The God of Union (The%20Continent/Pantheons/Untitled/Imperium%20Invicta/Invictian%20Gods/Mutunus,%20The%20God%20of%20Union%2011df1754c40381f8aa10e0bb8470e424.csv) ",Invictian Lesser God,"Physical Union, Sensuality",Half- Orc,Chaotic Neutral,
"Nemesis, The Goddess of Retribution","Nemesis, The Goddess of Retribution (The%20Continent/Pantheons/Untitled/Imperium%20Invicta/Invictian%20Gods/Nemesis,%20The%20Goddess%20of%20Retribution%2011df1754c40381289dc8f24e4f8fe1d1.csv) ",Invictian Lesser God,"Vengeance, Balance",Tiefling,True Neutral,
"Neptune, The Sovereign of the Deep","Neptune, The Sovereign of the Deep (The%20Continent/Pantheons/Untitled/Imperium%20Invicta/Invictian%20Gods/Neptune,%20The%20Sovereign%20of%20the%20Deep%2011df1754c4038116b14ff273cb33221c.csv) ",Invictian Lesser God,"Oceans, Sovereignty",Triton,Lawful Neutral,
"Nyx, The Mistress of the Void","Nyx, The Mistress of the Void (The%20Continent/Pantheons/Untitled/Imperium%20Invicta/Invictian%20Gods/Nyx,%20The%20Mistress%20of%20the%20Void%20139f1754c403801193c1eb2dab822c7b.csv) ","Hellenorian Lesser God, Invictian Lesser God","Darkness, Cosmic Mysteries",Drow,Neutral Evil,
"Pluto, The Lord of the Hidden","Pluto, The Lord of the Hidden (The%20Continent/Pantheons/Untitled/Imperium%20Invicta/Invictian%20Gods/Pluto,%20The%20Lord%20of%20the%20Hidden%2011df1754c4038186ba6be3d24fccfb14.csv) ",Invictian Lesser God,"Underworld, Forbidden Knowledge",Tiefling,Lawful Evil,
"Proserpina, The Goddess of Fertility","Proserpina, The Goddess of Fertility (The%20Continent/Pantheons/Untitled/Imperium%20Invicta/Invictian%20Gods/Proserpina,%20The%20Goddess%20of%20Fertility%2011df1754c4038127b52ae4e58aa3ffe6.csv) ",Invictian Lesser God,"Fertility, Rebirth",Wood Elf,Neutral Good,
"Pomona, The Guardian Goddess of Harvest","Pomona, The Guardian Goddess of Harvest (The%20Continent/Pantheons/Untitled/Imperium%20Invicta/Invictian%20Gods/Pomona,%20The%20Guardian%20Goddess%20of%20Harvest%2011df1754c403814e9cedec669fbdda0a.csv) ",Invictian Lesser God,"Fruits, Harvest",Halfing,Neutral Good,
"Senectus, The Patron of Rest","Senectus, The Patron of Rest (The%20Continent/Pantheons/Untitled/Imperium%20Invicta/Invictian%20Gods/Senectus,%20The%20Patron%20of%20Rest%2011df1754c4038153a729cacbb488ad49.csv) ",Invictian Lesser God,"Rest, Peaceful Death",Human,True Neutral,
"Somnus, The Patron of Reflection","Somnus, The Patron of Reflection (The%20Continent/Pantheons/Untitled/Imperium%20Invicta/Invictian%20Gods/Somnus,%20The%20Patron%20of%20Reflection%2011df1754c4038105b7a1fe9606ccad31.csv) ",Invictian Lesser God,"Sleep, Dreams",High Elf,True Neutral,
Spes. The Embodiment of Aspiration,"Spes. The Embodiment of Aspiration (The%20Continent/Pantheons/Untitled/Imperium%20Invicta/Invictian%20Gods/Spes%20The%20Embodiment%20of%20Aspiration%2011df1754c4038183851df66f96fb2d5b.csv) ",Invictian Lesser God,"Hope, Inspiration",Human,Neutral Good,
Terra. The Earthshaper,"Terra, The Earthshaper (The%20Continent/Pantheons/Untitled/Imperium%20Invicta/Invictian%20Gods/Terra,%20The%20Earthshaper%20139f1754c40380c7ac9aeadb23458308.csv) ","Hellenorian Lesser God, Invictian Lesser God","Land, Creation",Earth Genasi,Neutral Good,
Trivia. The Keeper of Secrets,"Trivia. The Keeper of Secrets (The%20Continent/Pantheons/Untitled/Imperium%20Invicta/Invictian%20Gods/Trivia%20The%20Keeper%20of%20Secrets%2011df1754c40381c79b53dff86f3310f6.csv) ",Invictian Lesser God,"Sorcery, Forbbiden Knowledge",Yuan-Ti,Chaotic Evil,
"Venus, The Goddess of Beauty","Venus, The Goddess of Beauty (The%20Continent/Pantheons/Untitled/Imperium%20Invicta/Invictian%20Gods/Venus,%20The%20Goddess%20of%20Beauty%2011df1754c403811382cdf76234647061.csv) ",Invictian Lesser God,"Beauty, Light of Love",Tiefling,Chaotic Good,
"Veritas, The Keeper of Truth","Veritas, The Keeper of Truth (The%20Continent/Pantheons/Untitled/Imperium%20Invicta/Invictian%20Gods/Veritas,%20The%20Keeper%20of%20Truth%2011df1754c4038107a366c6cd4c5c9fe7.csv) ",Invictian Lesser God,"Truth, Illumination",Human,Lawful Good,
Vesta. The Guardian of the Sacred Fire,"Vesta. The Guardian of the Sacred Fire (The%20Continent/Pantheons/Untitled/Imperium%20Invicta/Invictian%20Gods/Vesta%20The%20Guardian%20of%20the%20Sacred%20Fire%2011df1754c40381029277e38d960b57ac.csv) ",Invictian Lesser God,"Home, Warmth",Halfling,Lawful Good,
"Victoria, The Goddess of Triumph","Victoria, The Goddess of Triumph (The%20Continent/Pantheons/Untitled/Imperium%20Invicta/Invictian%20Gods/Victoria,%20The%20Goddess%20of%20Triumph%2011df1754c40381a19efddf22488507b3.csv) ",Invictian Lesser God,"Victory, Honor",Leonin,Chaotic Good,
"Vis, The Goddess of Strength","Vis, The Goddess of Strength (The%20Continent/Pantheons/Untitled/Imperium%20Invicta/Invictian%20Gods/Vis,%20The%20Goddess%20of%20Strength%2011df1754c40381b5a2e5d7b428bbad98.csv) ",Invictian Lesser God,"Strength, Resilience",Dragonborn,Lawful Neutral,
"Vulcan, The Artisan of Creation","Vulcan, The Artisan of Creation (The%20Continent/Pantheons/Untitled/Imperium%20Invicta/Invictian%20Gods/Vulcan,%20The%20Artisan%20of%20Creation%2011df1754c40381529d7cddb5a9c9edf7.csv) ",Invictian Lesser God,Craftmanship,Warforged,Lawful Neutral,
"Hajama, The God of Valor","Hajama, The God of Valor (The%20Continent/Pantheons/Untitled/Acheaorian/Acheaorian%20Gods/Hajama,%20The%20God%20of%20Valor%20139f1754c40381c4b5ecfcd577ac9350.csv) ",Acheaorian Lesser God,War Strategy,Leonin,Lawful Neutral,
