Name,Alignment,Domains,Gods,Race,Symbol,Tags
"Leto, The Graceful Mother",Neutral Good,"Motherhood, Grace","Leto, The Graceful Mother (Titans/Asetherian%20Titans/Leto,%20The%20Graceful%20Mother%20139f1754c403811483e3e41c317a6668.md) ",Ancient Titan,,Aetherian Ancient Titan
"Somnus, The Patron of Reflection",True Neutral,"Sleep, Dreams","Somnus, The Patron of Reflection (Imperium%20Invicta/Invictian%20Gods/Somnus,%20The%20Patron%20of%20Reflection%2011df1754c4038105b7a1fe9606ccad31.md) ",High Elf,,Invictian Lesser God
Vesta. The Guardian of the Sacred Fire,Lawful Good,"Home, Warmth","Vesta. The Guardian of the Sacred Fire (Imperium%20Invicta/Invictian%20Gods/Vesta%20The%20Guardian%20of%20the%20Sacred%20Fire%2011df1754c40381029277e38d960b57ac.md) ",Halfling,,Invictian Lesser God
Terra. The Earthshaper,Neutral Good,"Land, Creation","Terra, The Earthshaper (Imperium%20Invicta/Invictian%20Gods/Terra,%20The%20Earthshaper%20139f1754c40380c7ac9aeadb23458308.md) ",Earth Genasi,,"Hellenorian Lesser God, Invictian Lesser God"
"Gigantes, Titan of Chaos",Chaotic Neutral,"Strength, Chaos","Gigantes, Titan of Chaos (Titans/Asetherian%20Titans/Gigantes,%20Titan%20of%20Chaos%20139f1754c403816992b3c2390cf09fe3.md) ",Ancient Titan,,Aetherian Ancient Titan
"Veritas, The Keeper of Truth",Lawful Good,"Truth, Illumination","Veritas, The Keeper of Truth (Imperium%20Invicta/Invictian%20Gods/Veritas,%20The%20Keeper%20of%20Truth%2011df1754c4038107a366c6cd4c5c9fe7.md) ",Human,,Invictian Lesser God
"Jupiter,, The Stormlord",Lawful Neutral,"Thunder, Authority","Jupiter,, The Stormlord (Imperium%20Invicta/Invictian%20Gods/Jupiter,,%20The%20Stormlord%2011df1754c40381079491cf8c65db1b08.md) ",Goliath,,Invictian Lesser God
"Mielikki, Goddess of Forest",Neutral Good,Nature,"Mielikki, Goddess of Forest (Ascended/Asetherian%20Ascended/Mielikki,%20Goddess%20of%20Forest%20139f1754c403817b8ac6cf4484a1391a.md) ",Dryad,,Asetherian Ascended God
"Aura, Titan of Freedom",Chaotic Neutral,"Air, Freedom","Aura, Titan of Freedom (Titans/Asetherian%20Titans/Aura,%20Titan%20of%20Freedom%20139f1754c4038145b06ed6e9fe96d834.md) ",Ancient Titan,,Aetherian Ancient Titan
"Bala, The Melodic",Chaotic Good,Music and Joy,"Bala, The Melodic (Acheaorian/Acheaorian%20Gods/Bala,%20The%20Melodic%20139f1754c403817586a6e85dc56812a4.md) ",Satyr,,Acheaorian Lesser God
"Torm, God of Courage and Self-Sacrifice",Lawful Good,War,"Torm, God of Courage and Self-Sacrifice (Ascended/Asetherian%20Ascended/Torm,%20God%20of%20Courage%20and%20Self-Sacrifice%20139f1754c4038147b608f8ad33b8f22e.md) ",Aasimar,,Asetherian Ascended God
"Ophion, Titan of Creation","True Neutral ","Creation, Sky","Ophion, Titan of Creation (Titans/Asetherian%20Titans/Ophion,%20Titan%20of%20Creation%20139f1754c403817dae0aea5fe7db007e.md) ",Ancient Titan,,Aetherian Ancient Titan
"Kelemvor, God of the Dead",Lawful Neutral,Death,"Kelemvor, God of the Dead (Ascended/Asetherian%20Ascended/Kelemvor,%20God%20of%20the%20Dead%20139f1754c4038151a3ebc85bc326f596.md) ",Revenant,,Asetherian Ascended God
"Selan, The Enchantress",Chaotic Good,Aesthetic Inspiration,"Selan, The Enchantress (Acheaorian/Acheaorian%20Gods/Selan,%20The%20Enchantress%20139f1754c403817b8363dcb469ffd073.md) ",High Elf,,Acheaorian Lesser God
"Mercury, The Trickster of Trade",Lawful Good,"Commerce, Cunning ","Mercury, The Trickster of Trade (Imperium%20Invicta/Invictian%20Gods/Mercury,%20The%20Trickster%20of%20Trade%2011df1754c40381159658d99b97cccd84.md) ",Tabaxi,,Invictian Lesser God
"Zann, The Illuminator",True Neutral,Knowledge and Understanding,"Zann, The Illuminator (Acheaorian/Acheaorian%20Gods/Zann,%20The%20Illuminator%20139f1754c403813db771ec2282402f64.md) ",Air Genasi,,Acheaorian Lesser God
"Neptune, The Sovereign of the Deep",Lawful Neutral,"Oceans, Sovereignty","Neptune, The Sovereign of the Deep (Imperium%20Invicta/Invictian%20Gods/Neptune,%20The%20Sovereign%20of%20the%20Deep%2011df1754c4038116b14ff273cb33221c.md) ",Triton,,Invictian Lesser God
"Venus, The Goddess of Beauty",Chaotic Good,"Beauty, Light of Love","Venus, The Goddess of Beauty (Imperium%20Invicta/Invictian%20Gods/Venus,%20The%20Goddess%20of%20Beauty%2011df1754c403811382cdf76234647061.md) ",Tiefling,,Invictian Lesser God
"Oceanus, Titan of Exploration",Lawful Neutral,"Water, Exploration","Oceanus, Titan of Exploration (Titans/Asetherian%20Titans/Oceanus,%20Titan%20of%20Exploration%20139f1754c40381acab35c90d072a394a.md) ",Ancient Titan,,Aetherian Ancient Titan
"Anytus, Titan of Order",Lawful Neutral,"Nature, Order","Anytus, Titan of Order (Titans/Asetherian%20Titans/Anytus,%20Titan%20of%20Order%20139f1754c4038156ae51f3120ee8db2d.md) ",Ancient Titan,,Aetherian Ancient Titan
"Kiga, The Beastmaster",Neutral Evil,Predation and Strength,"Kiga, The Beastmaster (Acheaorian/Acheaorian%20Gods/Kiga,%20The%20Beastmaster%20139f1754c40381ff97e6eec72947cea1.md) ",Tabaxi,,Acheaorian Lesser God
