Name,Type,Organization,Subcategory,Dedicated To,Category
The Howling Bell,Bardic College,Titanic Organization,The Occult,Selene,UNKNOWN
Cult of Nyzzoth,Unknown Cult,Titanic Organization,The Occult,Gigantes,UNKNOWN
Covenant of the Equinox,Druidic Circle,Titanic Organization,The Impartial,Eos,UNKNOWN
Verdant Spearhold,Fighters/Mercenary,Titanic Organization,The Virtuous,Selene,UNKNOWN
Children of the Sacred Forge,Artisans,Titanic Organization,The Virtuous,Hyperion,UNKNOWN
Guild of the Emerald Sigil,Artisans,Titanic Organization,The Virtuous,Adamus,UNKNOWN
Hammer of Lumina,Forging,Titanic Organization,The Virtuous,Helios,UNKNOWN
Syndicate of the Justicar,Secret Society,Titanic Organization,The Impartial,Themis,UNKNOWN
Flame of the Sacrificed,Secret Society,Titanic Organization,The Virtuous,Prometheus,UNKNOWN
Circle of the Timeless Veil,Secret Society,Titanic Organization,The Impartial,Ostasus,UNKNOWN
Forge of the Creators,Secret Society,Titanic Organization,The Virtuous,Ophion,UNKNOWN
