Name,Domains
"Hajama, The God of Valor",War Strategy
"Hakiyah, The Just Scales",Justice and Truth
"Haku, The Liberator",Freedom of Spirit
"Jisan, The Bountiful",Harvest and Growth
"Kor, The Sage of Ages",Wisdom of Ages
"Najm, The Explorer",Paths of Adventure
"Selan, The Enchantress",Aesthetic Inspiration
"Zann, The Illuminator",Knowledge and Understanding
"Jauhar, The Gilded",Prosperity and Fortune
"Bala, The Melodic",Music and Joy
"Jarmik, The Benevolent",Charity and Community
"Vatagatal, The Dutiful",Honor and Responsibility
"Botu’Astook, The Kinkeeper",Heritage and Kinship
"Kiga, The Beastmaster",Predation and Strength
"Lotha, The Shadow Queen",Deceit and Darkness
"Migal, The Silent",Stealth and Knowledge
"Ragarra, The Wild Fury",Nature’s Fury and Chaos
"Shajar, The River Guardian",Water and Life
"Beast, The Savage",Untamed Strength and War
"Kar’r’rga, The Temperental",Tempest and the Sea
"Drummern and Pag, The Tempest Twins",Rhythm of the Storms
"The Faceless God, The Masked Doom",Evil and Darkness
"The Lost One, The Exiled",Exile and Longing
"Thasmudayan, The Harbringer of the Undying",Death and Undeath
