Name,Alignment,Domains,Race,Symbol,Tags
"Najm, The Explorer",Chaotic Neutral,Paths of Adventure,,,Acheaorian Lesser God
"Migal, The Silent",Lawful Neutral,Stealth and Knowledge,,,Acheaorian Lesser God
"Jauhar, The Gilded",True Neutral,Prosperity and Fortune,,,Acheaorian Lesser God
"Kiga, The Beastmaster",Neutral Evil,Predation and Strength,,,Acheaorian Lesser God
"Drummern and Pag, The Tempest Twins",Chaotic Neutral,Rhythm of the Storms,,,Acheaorian Lesser God
"Jisan, The Bountiful",Neutral Evil,Harvest and Growth,,,Acheaorian Lesser God
"Zann, The Illuminator",True Neutral,Knowledge and Understanding,,,Acheaorian Lesser God
"Lotha, The Shadow Queen",Chaotic Evil,Deceit and Darkness,,,Acheaorian Lesser God
"Ragarra, The Wild Fury",Chaotic Neutral,Nature’s Fury and Chaos,,,Acheaorian Lesser God
"Hakiyah, The Just Scales",Lawful Good,Justice and Truth,,,Acheaorian Lesser God
"Kar’r’rga, The Temperental",Chaotic Neutral,Tempest and the Sea,,,Acheaorian Lesser God
"Thasmudayan, The Harbringer of the Undying",Neutral Evil,Death and Undeath,,,Acheaorian Lesser God
"The Faceless God, The Masked Doom",Chaotic Evil,Evil and Darkness,,,Acheaorian Lesser God
"Selan, The Enchantress",Chaotic Good,Aesthetic Inspiration,,,Acheaorian Lesser God
"Bala, The Melodic",Chaotic Good,Music and Joy,,,Acheaorian Lesser God
"Kor, The Sage of Ages",Lawful Neutral,Wisdom of Ages,,,Acheaorian Lesser God
"Botu’Astook, The Kinkeeper",True Neutral,Heritage and Kinship,,,Acheaorian Lesser God
"The Lost One, The Exiled",Chaotic Neutral,Exile and Longing,,,Acheaorian Lesser God
"Jarmik, The Benevolent",Neutral Good,Charity and Community,,,Acheaorian Lesser God
"Hajama, The God of Valor",Lawful Neutral,War Strategy,,,Acheaorian Lesser God
"Beast, The Savage",Chaotic Neutral,Untamed Strength and War,,,Acheaorian Lesser God
"Haku, The Liberator",Chaotic Good,Freedom of Spirit,,,Acheaorian Lesser God
"Shajar, The River Guardian",True Neutral,Water and Life,,,Acheaorian Lesser God
"Vatagatal, The Dutiful",Lawful Neutral,Honor and Responsibility,,,Acheaorian Lesser God
