Name,Domains
"Auril, Goddess of Winter","Nature, Tempest"
"Azuth, God of Wizards",Knowledge
"Bane, God of Tyranny",War
"Beshaba, Goddess of Misfortune",Trickery
"Bhaal, God of Murder",Death
"Chauntea, Goddess of Agriculture",Life
"Cyric, God of Lies",Trickery
"Deneir, God of Writing",Knowledge
"Eldath, Goddess of Peace","Life, Light"
"Gond, God of Craft",Knowledge
"Helm, God of Protection","Life, Light"
"Ilmater, God of Endurance",Life
"Kelemvor, God of the Dead",Death
"Lathander, God of Birth and Renewal","Life, Light"
"Leira, Goddess of Illusion",Trickery
"Lliira, Goddess of Joy",Life
"Loviatar, Goddess of Pain",Death
"Malar, God of the Hunt",Nature
"Mask, God of Thieves",Trickery
"Mielikki, Goddess of Forest",Nature
"Milil, God of Poetry and Song",Light
"Myrkul, God of Death",Death
"Mystra, Goddess of Magic",Knowledge
"Oghma, God of Knowledge",Knowledge
"Savras, God of Divination and Fate",Knowledge
"Selune, Goddess of the Moon","Knowledge, Life"
"Shar, Goddess of Darkness and Loss","Death, Trickery"
"Silvanus, God of Wild Nature",Nature
"Sune, Goddess of Love and Beauty","Life, Light"
"Talona, Goddess of Disease and Poison",Death
"Talos, God of Storms",Tempest
"Tempus, God of War",War
"Torm, God of Courage and Self-Sacrifice",War
"Tymora, Goddess of Good Fortune",Trickery
"Tyr, God of Justice",War
"Umberlee, Goddess of the Sea",Tempest
"Waukeen, God of Trade","Knowledge, Trickery"
