Name,Alignment,Domains,Race,Symbol,Tags
"Silvanus, God of Wild Nature",True Neutral,Nature,,,Asetherian Ascended God
"Gond, God of Craft",True Neutral,Knowledge,,,Asetherian Ascended God
"Loviatar, Goddess of Pain",Lawful Evil,Death,,,Asetherian Ascended God
"Bhaal, God of Murder",Neutral Evil,Death,,,Asetherian Ascended God
"Leira, Goddess of Illusion",Chaotic Neutral,Trickery,,,Asetherian Ascended God
"Umberlee, Goddess of the Sea",Chaotic Evil,Tempest,,,Asetherian Ascended God
"Lliira, Goddess of Joy",Chaotic Good,Life,,,Asetherian Ascended God
"Talona, Goddess of Disease and Poison",Chaotic Evil,Death,,,Asetherian Ascended God
"Auril, Goddess of Winter",Neutral Evil,"Nature, Tempest",,,Asetherian Ascended God
"Kelemvor, God of the Dead",Lawful Neutral,Death,,,Asetherian Ascended God
"Deneir, God of Writing",Neutral Good,Knowledge,,,Asetherian Ascended God
"Talos, God of Storms",Chaotic Evil,Tempest,,,Asetherian Ascended God
"Mystra, Goddess of Magic",Neutral Good,Knowledge,,,Asetherian Ascended God
"Beshaba, Goddess of Misfortune",Chaotic Evil,Trickery,,,Asetherian Ascended God
"Ilmater, God of Endurance",Lawful Good,Life,,,Asetherian Ascended God
"Waukeen, God of Trade",True Neutral,"Knowledge, Trickery",,,Asetherian Ascended God
"Savras, God of Divination and Fate",Lawaful Neutral,Knowledge,,,Asetherian Ascended God
"Mielikki, Goddess of Forest",Neutral Good,Nature,,,Asetherian Ascended God
"Lathander, God of Birth and Renewal",Neutral Good,"Life, Light",,,Asetherian Ascended God
"Helm, God of Protection",Lawful Neutral,"Life, Light",,,Asetherian Ascended God
"Cyric, God of Lies",Chaotic Evil,Trickery,,,Asetherian Ascended God
"Bane, God of Tyranny",Lawful Evil,War,,,Asetherian Ascended God
"Oghma, God of Knowledge",True Neutral,Knowledge,,,Asetherian Ascended God
"Shar, Goddess of Darkness and Loss",Neautral Evil,"Death, Trickery",,,Asetherian Ascended God
"Sune, Goddess of Love and Beauty",Chaotic Good,"Life, Light",,,Asetherian Ascended God
"Azuth, God of Wizards",Lawful Neutral,Knowledge,,,Asetherian Ascended God
"Mask, God of Thieves",Chaotic Neutral,Trickery,,,Asetherian Ascended God
"Tempus, God of War",True Neutral,War,,,Asetherian Ascended God
"Selune, Goddess of the Moon",Chaotic Good,"Knowledge, Life",,,Asetherian Ascended God
"Malar, God of the Hunt",Chaotic Evil,Nature,,,Asetherian Ascended God
"Eldath, Goddess of Peace",Neutral Good,"Life, Light",,,Asetherian Ascended God
"Torm, God of Courage and Self-Sacrifice",Lawful Good,War,,,Asetherian Ascended God
"Milil, God of Poetry and Song",Neutral Good,Light,,,Asetherian Ascended God
"Tyr, God of Justice",Lawful Good,War,,,Asetherian Ascended God
"Myrkul, God of Death",Neutral Evil,Death,,,Asetherian Ascended God
"Chauntea, Goddess of Agriculture",Neutral Good,Life,,,Asetherian Ascended God
"Tymora, Goddess of Good Fortune",Chaotic Good,Trickery,,,Asetherian Ascended God
