Name,Domains
"Artemis, The Huntress of the Moon","Lunar Light, Nature, Wild Hunt"
"Athena, The Wise Guardian","Civilizaztion, Knowledge"
"Hades, The Lord of the Underworld","Death, Wealth"
"Hecate, The Mistress of the Arcane","Arcana, Crossroads, Moon"
"Aphrodite, The Enchantress","Beauty, Love"
"Apollo, The Radiant One","Healing, Light"
"Ares, The Warlord","Strife, War"
"Nike, The Winged Champion",Victory
"Tyche, The Goddess of Fortune","Fate, Luck"
"Hera, The Matron of Families","Family, Intrigue"
"Hermes, The Fleet-footed Messenger","Commerce, Mercenary(Seekers), Travel"
"Demeter, The Earth Mother",Agriculture
"Zeus, The Storm Lord",Tempest
"Pan, The Wild Sheperd",Nature
"Dionysus, The God of Festivity","Life, Revelry"
"Hephaestus, The Forge Master",Forge
"Hestia, The Keeper of the Eternal Fire","Hearth, Home"
"Hercules, The Champion","Adventure, Strength"
"Poseidon, The Earth Shaker",Sea
"Nyx, The Mistress of the Void","Cosmic Mysteries, Darkness"
Terra. The Earthshaper,"Creation, Land"
