Name,Property,Alignment,Class & Subclass,Domains,Race,Tags
"Artemis, The Huntress of the Moon",,Neutral Good,,"Lunar Light, Nature, Wild Hunt",Tabaxi,Hellenorian Lesser God
"Athena, The Wise Guardian",,Lawful Good,,"Civilizaztion, Knowledge",Warforged,Hellenorian Lesser God
"Hades, The Lord of the Underworld",,Lawful Evil,,"Death, Wealth",Duergar Tiefling Variant,Hellenorian Lesser God
"Hecate, The Mistress of the Arcane",,Chaotic Evil,,"Arcana, Crossroads, Moon",Changeling,Hellenorian Lesser God
"Aphrodite, The Enchantress",,Chaotic Good,,"Beauty, Love",Variant Tiefling,Hellenorian Lesser God
"Apollo, The Radiant One",,Chaotic Good,,"Healing, Light",Aarakocra,Hellenorian Lesser God
"Ares, The Warlord",,Chaotic Evil,,"Strife, War",Minotaur,Hellenorian Lesser God
"Nike, The Winged Champion",,Lawful Neutral,,Victory,Fallen Aasimar,Hellenorian Lesser God
"Tyche, The Goddess of Fortune",,True Neutral,,"Fate, Luck",All Genasi,Hellenorian Lesser God
"Hera, The Matron of Families",,Chaotic Neutral,,"Family, Intrigue",Leonin,Hellenorian Lesser God
"Hermes, The Fleet-footed Messenger",,Chaotic Good,,"Commerce, Mercenary(Seekers), Travel",Shifter,Hellenorian Lesser God
"Demeter, The Earth Mother",,Neutral Good,,Agriculture,Firbolg,Hellenorian Lesser God
"Zeus, The Storm Lord",,True Neutral,,Tempest,Variant Aasimar,Hellenorian Lesser God
"Pan, The Wild Sheperd",,Chaotic Neutral,,Nature,Variant Centaur,Hellenorian Lesser God
"Dionysus, The God of Festivity",,Chaotic Neutral,,"Life, Revelry",Satyr,Hellenorian Lesser God
"Hephaestus, The Forge Master",,Neutral Good,,Forge,Deep Gnome,Hellenorian Lesser God
"Hestia, The Keeper of the Eternal Fire",,Neutral Good,,"Hearth, Home",Centaur,Hellenorian Lesser God
"Hercules, The Champion",,Chaotic Good,,"Adventure, Strength",Goliath,Hellenorian Lesser God
"Poseidon, The Earth Shaker",,Chaotic Neutral,,Sea,Triton,Hellenorian Lesser God
"Nyx, The Mistress of the Void",,Neutral Evil,,"Cosmic Mysteries, Darkness",Drow,"Hellenorian Lesser God, Invictian Lesser God"
Terra. The Earthshaper,,Neutral Good,,"Creation, Land",Earth Genasi,"Hellenorian Lesser God, Invictian Lesser God"
