Name,Domains
"Arcus, The Spectrum","Prismatic Nature, Trickery"
"Aurora, The First Light","Dawn, New Beginnings"
"Bacchus, The Bountiful Spirit",Revelry
"Bellona, The Warbringer","Shadow Tactics, Warfare"
"Caelus, The Celestial Scholar",Astronomy and Celestial Knowledge
Ceres. The Harvest Mother,"Agriculture, Prosperity"
"Concordia, The Unifier","Peacekeeping, Unity"
"Cupid, The Heart’s Arrow","Emotional Healing, Love"
"Cybele, Earthen Mother","Fiora, Wilderness"
"Diana, The Guardian fo the Grove","Adventure, Hunting"
"Faunus, The Keeper of the Plains","Serenity, Wildlife"
"Febris, The Harbringer of Ailments",Plagues Mischief
"Flora, The Blooming Spirit","Flower, Renewal"
"Fortuna, The Wheel of Fatet","Fortune’s Change, Luck"
"Janus, The Gatekeeper","Passages, Transitions"
"Juno, The Protector of Bonds","Oaths, Protection"
"Jupiter,, The Stormlord","Authority, Thunder"
"Juventus, The Spirit of Vitality","Endurance, Youth"
"Mars, The Champion of Valor","Glory, Warfare"
"Mercury, The Trickster of Trade","Commerce, Cunning"
"Minerva, The Sage of Wisdom",Creative Arts and Crafts
"Mutunus, The God of Union","Physical Union, Sensuality"
"Nemesis, The Goddess of Retribution","Balance, Vengeance"
"Neptune, The Sovereign of the Deep","Oceans, Sovereignty"
"Nyx, The Mistress of the Void","Cosmic Mysteries, Darkness"
"Phoebus, The illuminator","Heavenly Knowledge, Light"
"Pluto, The Lord of the Hidden","Forbidden Knowledge, Underworld"
"Pomona, The Guardian Goddess of Harvest","Fruits, Harvest"
"Proserpina, The Goddess of Fertility","Fertility, Rebirth"
"Senectus, The Patron of Rest","Peaceful Death, Rest"
"Somnus, The Patron of Reflection","Dreams, Sleep"
Spes. The Embodiment of Aspiration,"Hope, Inspiration"
"Terra, The Earthshaper","Creation, Land"
Trivia. The Keeper of Secrets,"Forbbiden Knowledge, Sorcery"
"Venus, The Goddess of Beauty","Beauty, Light of Love"
"Veritas, The Keeper of Truth","Illumination, Truth"
Vesta. The Guardian of the Sacred Fire,"Home, Warmth"
"Victoria, The Goddess of Triumph","Honor, Victory"
"Vis, The Goddess of Strength","Resilience, Strength"
"Vulcan, The Artisan of Creation",Craftmanship
