Name,Alignment,Domains,Race,Symbol,Tags
"Nemesis, The Goddess of Retribution",True Neutral,"Balance, Vengeance",Tiefling,,Invictian Lesser God
"Aurora, The First Light",Neutral Good,"Dawn, New Beginnings",Aasimar,,Invictian Lesser God
"Somnus, The Patron of Reflection",True Neutral,"Dreams, Sleep",High Elf,,Invictian Lesser God
"Mutunus, The God of Union",Chaotic Neutral,"Physical Union, Sensuality",Half- Orc,,Invictian Lesser God
"Jupiter,, The Stormlord",Lawful Neutral,"Authority, Thunder",Goliath,,Invictian Lesser God
"Veritas, The Keeper of Truth",Lawful Good,"Illumination, Truth",Human,,Invictian Lesser God
"Vulcan, The Artisan of Creation",Lawful Neutral,Craftmanship,Warforged,,Invictian Lesser God
"Victoria, The Goddess of Triumph",Chaotic Good,"Honor, Victory",Leonin,,Invictian Lesser God
Trivia. The Keeper of Secrets,Chaotic Evil,"Forbbiden Knowledge, Sorcery",Yuan-Ti,,Invictian Lesser God
Ceres. The Harvest Mother,Neutral Good,"Agriculture, Prosperity",Human,,Invictian Lesser God
"Pomona, The Guardian Goddess of Harvest",Neutral Good,"Fruits, Harvest",Halfing,,Invictian Lesser God
"Febris, The Harbringer of Ailments",Chaotic Evil,Plagues Mischief,Centaur,,Invictian Lesser God
"Flora, The Blooming Spirit",Neutral Good,"Flower, Renewal",Dhampir,,Invictian Lesser God
"Fortuna, The Wheel of Fatet",Neutral Good,"Fortune’s Change, Luck",Wood Elf,,Invictian Lesser God
Vesta. The Guardian of the Sacred Fire,Lawful Good,"Home, Warmth",Halfling,,Invictian Lesser God
"Diana, The Guardian fo the Grove",Chaotic Good,"Adventure, Hunting",Firbolg,,Invictian Lesser God
"Neptune, The Sovereign of the Deep",Lawful Neutral,"Oceans, Sovereignty",Triton,,Invictian Lesser God
"Juno, The Protector of Bonds",Lawful Good,"Oaths, Protection",Changeling,,Invictian Lesser God
"Proserpina, The Goddess of Fertility",Neutral Good,"Fertility, Rebirth",Wood Elf,,Invictian Lesser God
"Faunus, The Keeper of the Plains",True Neutral,"Serenity, Wildlife",Tabaxi,,Invictian Lesser God
"Phoebus, The illuminator",Neutral Evil,"Heavenly Knowledge, Light",Sun Elf,,Invictian Lesser God
"Vis, The Goddess of Strength",Lawful Neutral,"Resilience, Strength",Dragonborn,,Invictian Lesser God
"Arcus, The Spectrum",Chaotic Good,"Prismatic Nature, Trickery",Aarakocra,,Invictian Lesser God
"Mars, The Champion of Valor",Lawful Evil,"Glory, Warfare",Half Elf(Drow),,Invictian Lesser God
"Juventus, The Spirit of Vitality",Chaotic Good,"Endurance, Youth",Aasimar,,Invictian Lesser God
"Caelus, The Celestial Scholar",Lawful Neutral,Astronomy and Celestial Knowledge,Air Genasi,,Invictian Lesser God
"Minerva, The Sage of Wisdom",Chaotic Evil,Creative Arts and Crafts,Kenku,,Invictian Lesser God
"Cybele, Earthen Mother",True Neutral,"Fiora, Wilderness",Half Eladrin Elf,,Invictian Lesser God
"Janus, The Gatekeeper",True Neutral,"Passages, Transitions",Tiefling,,Invictian Lesser God
"Bacchus, The Bountiful Spirit",Chaotic Neutral,Revelry,Satyr,,Invictian Lesser God
Spes. The Embodiment of Aspiration,Neutral Good,"Hope, Inspiration",Human,,Invictian Lesser God
"Concordia, The Unifier",Lawful Good,"Peacekeeping, Unity",Half High Elf,,Invictian Lesser God
"Cupid, The Heart’s Arrow",Chaotic Good,"Emotional Healing, Love",Half Wood Elf,,Invictian Lesser God
"Mercury, The Trickster of Trade",Lawful Good,"Commerce, Cunning",Tabaxi,,Invictian Lesser God
"Senectus, The Patron of Rest",True Neutral,"Peaceful Death, Rest",Human,,Invictian Lesser God
"Bellona, The Warbringer",Lawful Evil,"Shadow Tactics, Warfare",Hobgoblin,,Invictian Lesser God
"Venus, The Goddess of Beauty",Chaotic Good,"Beauty, Light of Love",Tiefling,,Invictian Lesser God
"Pluto, The Lord of the Hidden",Lawful Evil,"Forbidden Knowledge, Underworld",Tiefling,,Invictian Lesser God
"Nyx, The Mistress of the Void",Neutral Evil,"Cosmic Mysteries, Darkness",Drow,,"Hellenorian Lesser God, Invictian Lesser God"
"Terra, The Earthshaper",Neutral Good,"Creation, Land",Earth Genasi,,"Hellenorian Lesser God, Invictian Lesser God"
