Name
"Arcus, The Spectrum"
"Aurora, The First Light"
"Bacchus, The Bountiful Spirit"
"Bellona, The Warbringer"
"Caelus, The Celestial Scholar"
Ceres. The Harvest Mother
"Concordia, The Unifier"
"Cupid, The Heart’s Arrow"
"Cybele, Earthen Mother"
"Diana, The Guardian fo the Grove"
"Faunus, The Keeper of the Plains"
"Febris, The Harbringer of Ailments"
"Flora, The Blooming Spirit"
"Fortuna, The Wheel of Fatet"
"Janus, The Gatekeeper"
"Juno, The Protector of Bonds"
"Jupiter,, The Stormlord"
"Juventus, The Spirit of Vitality"
"Mars, The Champion of Valor"
"Mercury, The Trickster of Trade"
"Minerva, The Sage of Wisdom"
"Mutunus, The God of Union"
"Nemesis, The Goddess of Retribution"
"Neptune, The Sovereign of the Deep"
"Nyx, The Mistress of the Void"
"Phoebus, The illuminator"
"Pluto, The Lord of the Hidden"
"Pomona, The Guardian Goddess of Harvest"
"Proserpina, The Goddess of Fertility"
"Senectus, The Patron of Rest"
"Somnus, The Patron of Reflection"
Spes. The Embodiment of Aspiration
Terra. The Earthshaper
Trivia. The Keeper of Secrets
"Venus, The Goddess of Beauty"
"Veritas, The Keeper of Truth"
Vesta. The Guardian of the Sacred Fire
"Victoria, The Goddess of Triumph"
"Vis, The Goddess of Strength"
"Vulcan, The Artisan of Creation"
