Name,Domains
"Vaedoris, The Spear of Verdance","Flourishin, Renewal, Wild Instinct"
"Horthonel, God of Fleeting Moments","Ephemera, Inspiration, Lost Time"
"Saeronis, The River of Secrets","Cosmic Echoes, Dreams, Forgotten Knowledge"
"Tzarash, The Pale Guardian","Curses, Sacred Oaths, Temporal Guardianship"
"Velkora, The Flame Beyond Dawn","Destruction, Rebirth Through Fire, Twilight Revelation"
"Urakh-Rynis, The Waiting Hunger","Dread, Paralysis, Predation of the Weak"
"Kaelrath, The Burning Whisper","Epiphany, Forbidden Illumination, Madness"
"Glaithonel, The Seven Eyes Between Worlds","Cosmic Voyages, Multiversal Sight, Veiled Perception"
"Aultheron, The Truth Incarnate","Absolute Truth, Domination of Will, Puppeteering"
"Zarakhal, The Slumbering Core","Primordial Chaos, Reality Shifting, Stellar Dreams"
"Thaun-Mirrath, The False Savior","False Hope, Imprisoned Power, Shapeshifting"
"The Black Veil, Shroud of Cosmic Night","Annihilation, Oblivion, Void Consumption"
"Moluth, The Living Womb","Birth of Horrors, Burrowing, Endless Gestation"
"Maelthra, Lord of the Timeless Howl","Dimensional Rifts, Eternal Conflict, Shattered Minds"
"M’roth and Theal-Koroth, The Twins","Cosmic Collapse, Eternal Cycle, Unbound Potential"
