Name,Domains
"Adamus, The Earth Keeper","Agriculture, Earth"
"Andes, Titan of Dawn","Light, Renewal"
"Anchiale, The Flame Artisan","Craft, Fire"
"Anytus, Titan of Order","Nature, Order"
"Asteria, The Night Seer","Night, Prophecy"
"Astraeus, Titan of the Wind","Stars, Wind"
"Atlas, The Strength Bearer","Endurance, Strength"
"Aura, Titan of Freedom","Air, Freedom"
"Clymene, The Deceptive Muse","Deception, Fame"
"Coeus, Titan of Shadows","Knowledge, Shadows"
"Crius, The War Strategist","Conflict, Constellations"
"Cronus, Titan of Time","Harvest, Time"
"Curetes, Titan of Trickery","Trickery, War"
"Dione, The Life Seer","Life, Prophecy"
"Eos, Titan of Light","Dawn, Light"
"Epimetheus,, The Beast Tamer","Beast, Impulse"
Eurybia. Titan of Storms,"Sea, Storms"
"Eurynome, The Harmony","Harmony, Nature"
"Gigantes, Titan of Chaos","Chaos, Strength"
"Helios, Titan of Vitality","Sun, Vitality"
"Hoplodamus, Titan of Guardianship","Guardianship, War"
"Hyperion, Titan of Knowledge","Knowledge, Light"
"Iapetus, The Doom Herald","Doom, Mortality"
"Lelantos, Titan of the Wild","Stealth, Wilderness"
"Leto, The Graceful Mother","Grace, Motherhood"
"Megamedes, Titan of Strategy","Command, Strategy"
"Melisseus, The Abundant Guardian","Abundance, Protection"
"Menoetius, Titan of Destruction","Destruction, Wrath"
"Metis, The Wise Strategist","Strategy, Wisdom"
"Mnemosyne, The Keeper of Memories","History, Memory"
"Muses Elder, Titan of Inspiration","Inspiration, Music"
"Mylinus, Titan of Endurance","Endurancve, Stone"
"Oceanus, Titan of Exploration","Exploration, Water"
"Olymbrus, Titan of the Sky","Sky, Time"
"Olympus, The Storm","Rebellion, Storms"
"Ophion, Titan of Creation","Creation, Sky"
"Ostasus, The Timer","Space, Time"
"Pallas, Titan of Defense","Defense, War"
"Perses, Titan of Annihilation","Annihilation, Fire"
"Phoebe, The Visionary","Prophecy, Vision"
"Phorcys, Titan of Monsters","Monsters, Sea"
"Polus, Titan of Wisdom","Knowledge, Stars"
"Prometheus, The Sacrificed Creator","Creation, Sacrifice"
"Rhea, Titan of Life","Fertility, Life"
"Selene, The Dream","Dreams, Moon"
"Styx, Titan of Oaths","Death, Oaths"
"Syceus, Titan of Growth","Earth, Growth"
"Tethys, Titan of Navigation","Navigation, Rivers"
"Theia, Titan of Light","Light, Radiance"
"Themis, Titan of Justice","Justice, Law"
"Titan, Titan of the Harvest","Agriculture, Stars"
